"행정구역","2023년_남자인구수","2023년_여자인구수","2023년_계","2024년_남자인구수","2024년_여자인구수","2024년_계"
"서울특별시 서울특별시 용산구 (1117000000)","536","511","1,047","504","557","1,061"
"서울특별시 용산구 후암동(1117051000)","17","30","47","26","21","47"
"서울특별시 용산구 용산2가동(1117052000)","15","14","29","10","15","25"
"서울특별시 용산구 남영동(1117053000)","11","5","16","7","7","14"
"서울특별시 용산구 청파동(1117055500)","36","29","65","26","33","59"
"서울특별시 용산구 원효로제1동(1117056000)","67","56","123","64","74","138"
"서울특별시 용산구 원효로제2동(1117057000)","31","24","55","35","47","82"
"서울특별시 용산구 효창동(1117058000)","32","36","68","35","42","77"
"서울특별시 용산구 용문동(1117059000)","35","40","75","22","27","49"
"서울특별시 용산구 한강로동(1117062500)","90","71","161","70","76","146"
"서울특별시 용산구 이촌제1동(1117063000)","59","59","118","69","77","146"
"서울특별시 용산구 이촌제2동(1117064000)","23","26","49","34","29","63"
"서울특별시 용산구 이태원제1동(1117065000)","10","12","22","8","13","21"
"서울특별시 용산구 이태원제2동(1117066000)","14","14","28","20","20","40"
"서울특별시 용산구 한남동(1117068500)","61","53","114","39","47","86"
"서울특별시 용산구 서빙고동(1117069000)","19","30","49","26","23","49"
"서울특별시 용산구 보광동(1117070000)","16","12","28","13","6","19"
